,attack_air,defense_air,attack_fire,defense_fire,attack_water,defense_water,attack_earth,defense_earth,idle
attack_air,6,0,0,0,0,1,0,0,0
defense_air,0,5,0,0,0,1,0,1,0
attack_fire,0,0,3,4,1,0,0,0,0
defense_fire,0,0,5,2,0,0,1,0,0
attack_water,0,0,0,0,4,2,2,0,0
defense_water,1,0,0,0,1,4,2,0,0
attack_earth,1,0,0,0,4,0,2,1,0
defense_earth,0,1,0,0,0,1,0,5,1
idle,0,1,1,0,0,1,0,2,2
