accuracy,loss,val_accuracy,val_loss,learning_rate
0.3302180767059326,2.3110334873199463,0.695652186870575,0.9405167102813721,0.0010000000474974513
0.7788162231445312,0.7976802587509155,0.695652186870575,0.8468644022941589,0.0010000000474974513
0.8442367315292358,0.6049723625183105,0.739130437374115,0.7630007266998291,0.0010000000474974513
0.9003115296363831,0.4563223719596863,0.782608687877655,0.679034948348999,0.0010000000474974513
0.9252336621284485,0.39988893270492554,0.7971014380455017,0.5780496597290039,0.0010000000474974513
0.9190031290054321,0.25809213519096375,0.8405796885490417,0.4962833821773529,0.0010000000474974513
0.9345794320106506,0.34482094645500183,0.7536231875419617,0.5516318678855896,0.0010000000474974513
0.9595015645027161,0.1105683371424675,0.782608687877655,0.6337006688117981,0.0010000000474974513
0.9439252614974976,0.23252548277378082,0.8115941882133484,0.6221150755882263,0.0010000000474974513
0.9688473343849182,0.15271742641925812,0.7971014380455017,0.665939211845398,0.0010000000474974513
0.9626168012619019,0.23552007973194122,0.7971014380455017,0.5931598544120789,0.0005000000237487257
0.9781931638717651,0.11166999489068985,0.8115941882133484,0.5989087820053101,0.0005000000237487257
0.9719626307487488,0.10332922637462616,0.8695651888847351,0.5789809823036194,0.0005000000237487257
0.9937694668769836,0.08230944722890854,0.8115941882133484,0.5763602256774902,0.0005000000237487257
0.9719626307487488,0.09320186823606491,0.8550724387168884,0.5427348017692566,0.0002500000118743628
0.9813084006309509,0.0795040875673294,0.8550724387168884,0.5196685791015625,0.0002500000118743628
