accuracy,loss
0.0,3.3596742153167725
0.1111111119389534,3.08345890045166
0.1111111119389534,2.131148338317871
0.3333333432674408,1.8325486183166504
0.5,1.549363613128662
0.6111111044883728,1.3892563581466675
0.6111111044883728,1.1642978191375732
0.7777777910232544,0.8663876056671143
0.7222222089767456,0.6854961514472961
0.8333333134651184,0.5970569252967834
1.0,0.48211753368377686
1.0,0.38255012035369873
1.0,0.3258873522281647
1.0,0.2603696882724762
1.0,0.20556777715682983
1.0,0.172291561961174
1.0,0.13981176912784576
1.0,0.12050949037075043
1.0,0.0984860509634018
1.0,0.08479193598031998
1.0,0.07019524276256561
1.0,0.06336288899183273
1.0,0.05408049747347832
1.0,0.04853173717856407
1.0,0.04232855513691902
1.0,0.03873200714588165
1.0,0.03424548730254173
1.0,0.03150986135005951
1.0,0.028565652668476105
1.0,0.026379801332950592
1.0,0.02410922385752201
1.0,0.02243812195956707
1.0,0.020651405677199364
1.0,0.019196202978491783
1.0,0.017728805541992188
1.0,0.016395987942814827
1.0,0.015056471340358257
1.0,0.014003392308950424
1.0,0.013148847967386246
1.0,0.012310925871133804
1.0,0.0115208076313138
1.0,0.010784756392240524
1.0,0.010134560987353325
1.0,0.009608310647308826
1.0,0.009035452269017696
1.0,0.008577515371143818
1.0,0.008067385293543339
1.0,0.007694237865507603
1.0,0.007265375927090645
1.0,0.006967428606003523
1.0,0.00661306781694293
1.0,0.006277469918131828
1.0,0.006013983394950628
1.0,0.005720304790884256
1.0,0.005479819606989622
1.0,0.005264811683446169
1.0,0.005045181140303612
1.0,0.004802157636731863
1.0,0.00462335953488946
1.0,0.004423388745635748
1.0,0.00425864988937974
1.0,0.004096519201993942
1.0,0.003947026561945677
1.0,0.003791591851040721
1.0,0.003644515760242939
1.0,0.0035140477120876312
1.0,0.0033949026837944984
1.0,0.0032743089832365513
1.0,0.0031544952653348446
1.0,0.003054147819057107
1.0,0.0029526925645768642
1.0,0.0028527623508125544
1.0,0.002758938819169998
