accuracy,loss,val_accuracy,val_loss,learning_rate
0.11526479572057724,2.2525882720947266,0.1304347813129425,2.2295162677764893,0.0010000000474974513
0.14641743898391724,2.164771556854248,0.15942029654979706,2.2402522563934326,0.0010000000474974513
0.17133955657482147,2.1603572368621826,0.14492753148078918,2.262164831161499,0.0010000000474974513
0.1838006228208542,2.147024631500244,0.1304347813129425,2.2870473861694336,0.0010000000474974513
0.1838006228208542,2.13200306892395,0.1304347813129425,2.3048486709594727,0.0010000000474974513
0.21806854009628296,2.1008052825927734,0.14492753148078918,2.3065290451049805,0.0005000000237487257
0.1962616890668869,2.0839946269989014,0.14492753148078918,2.3055899143218994,0.0005000000237487257
0.21806854009628296,2.0944228172302246,0.14492753148078918,2.313591241836548,0.0005000000237487257
0.26479750871658325,2.056959390640259,0.14492753148078918,2.3248445987701416,0.0005000000237487257
0.24610592424869537,2.0572259426116943,0.11594203114509583,2.3303334712982178,0.0002500000118743628
0.24922119081020355,2.0389108657836914,0.10144927352666855,2.3309669494628906,0.0002500000118743628
