,attack_air,defense_air,attack_fire,defense_fire,attack_water,defense_water,attack_earth,defense_earth,idle
attack_air,1,0,2,1,3,0,0,0,0
defense_air,0,0,2,0,1,1,0,2,1
attack_fire,2,0,3,0,0,2,0,1,0
defense_fire,0,0,6,1,0,0,0,1,0
attack_water,1,0,6,0,1,0,0,0,0
defense_water,0,0,5,0,0,2,0,1,0
attack_earth,2,0,5,0,1,0,0,0,0
defense_earth,0,0,4,1,1,1,0,1,0
idle,0,0,3,0,0,1,0,3,0
