accuracy,loss
0.0555555559694767,3.703841209411621
0.0,2.8979389667510986
0.3333333432674408,2.0541489124298096
0.3333333432674408,1.8996723890304565
0.4444444477558136,1.6221201419830322
0.5,1.4770970344543457
0.6111111044883728,1.2707009315490723
0.7222222089767456,1.0500760078430176
0.7222222089767456,0.9482266902923584
0.8333333134651184,0.7825201153755188
0.9444444179534912,0.5821322798728943
0.9444444179534912,0.49652495980262756
0.9444444179534912,0.3990084230899811
0.9444444179534912,0.3445608913898468
1.0,0.2671069800853729
1.0,0.2300782948732376
1.0,0.18192365765571594
1.0,0.15338371694087982
1.0,0.12890297174453735
1.0,0.10732974112033844
1.0,0.09254785627126694
1.0,0.07961355149745941
1.0,0.0673925057053566
1.0,0.06280896067619324
1.0,0.050699129700660706
1.0,0.048605069518089294
1.0,0.040556907653808594
1.0,0.03754999116063118
1.0,0.03238251432776451
1.0,0.03067757748067379
1.0,0.026813611388206482
1.0,0.025202466174960136
1.0,0.021985087543725967
1.0,0.020336691290140152
1.0,0.01859859935939312
1.0,0.01673739403486252
1.0,0.01561728585511446
1.0,0.01443435251712799
1.0,0.013508000411093235
1.0,0.012585758231580257
1.0,0.011884997598826885
1.0,0.010915897786617279
1.0,0.01047762855887413
1.0,0.00958852656185627
1.0,0.009179269894957542
1.0,0.008596714586019516
1.0,0.008135371841490269
1.0,0.007579656317830086
1.0,0.0072363028302788734
1.0,0.006945204455405474
1.0,0.0065512810833752155
1.0,0.0061166840605437756
1.0,0.005918465089052916
1.0,0.005576854571700096
1.0,0.005391284357756376
1.0,0.005064229015260935
1.0,0.004969293251633644
1.0,0.004638777580112219
1.0,0.00457987654954195
1.0,0.00423881970345974
1.0,0.004165667574852705
1.0,0.003874729387462139
1.0,0.0038431386929005384
1.0,0.0036066982429474592
1.0,0.003544408828020096
1.0,0.003332841442897916
1.0,0.00327982846647501
1.0,0.0030920803546905518
1.0,0.003051581559702754
1.0,0.0028768342453986406
1.0,0.002840569010004401
1.0,0.002693196525797248
1.0,0.0026444480754435062
1.0,0.0025090347044169903
1.0,0.002469373634085059
1.0,0.00236058933660388
1.0,0.0023205564357340336
1.0,0.002206261735409498
1.0,0.002156346570700407
1.0,0.002075740834698081
1.0,0.002035919576883316
1.0,0.0019617429934442043
1.0,0.0019271663622930646
1.0,0.0018448142800480127
1.0,0.0018409626791253686
1.0,0.001739557832479477
1.0,0.0017234579427167773
1.0,0.0016391174867749214
1.0,0.0016377723077312112
1.0,0.0015547135844826698
1.0,0.0015443223528563976
1.0,0.0014688217779621482
1.0,0.0014648926444351673
1.0,0.0013909750850871205
1.0,0.0013739158166572452
1.0,0.0013254436198621988
1.0,0.0013189823366701603
1.0,0.001257648109458387
1.0,0.0012506576022133231
1.0,0.0011979053961113095
1.0,0.0011806837283074856
1.0,0.0011438025394454598
1.0,0.001129712793044746
1.0,0.0010852275881916285
1.0,0.001076105865649879
1.0,0.0010385881178081036
1.0,0.0010356893762946129
1.0,0.000986003316938877
1.0,0.0009833601070567966
1.0,0.0009476787527091801
1.0,0.0009419457637704909
1.0,0.0009061068994924426
1.0,0.0008966685854829848
1.0,0.0008659359882585704
1.0,0.000861173146404326
1.0,0.0008304247166961432
1.0,0.0008195474511012435
1.0,0.0007960667717270553
1.0,0.0007869416149333119
1.0,0.000760914757847786
1.0,0.0007547675631940365
1.0,0.000730415340512991
1.0,0.0007205317378975451
1.0,0.0007015327573753893
1.0,0.0006952921394258738
1.0,0.0006731668254360557
1.0,0.0006632391014136374
1.0,0.0006472993409261107
1.0,0.0006357369711622596
1.0,0.0006240666843950748
1.0,0.0006143537466414273
1.0,0.0005981988506391644
1.0,0.0005939850234426558
1.0,0.0005761550855822861
1.0,0.0005717243766412139
1.0,0.0005535881500691175
1.0,0.0005471266340464354
1.0,0.0005333366570994258
1.0,0.0005280519253574312
1.0,0.0005163415335118771
1.0,0.0005136094405315816
1.0,0.0004924878012388945
1.0,0.0004904146189801395
1.0,0.00047787424409762025
1.0,0.0004738343122880906
1.0,0.0004601695400197059
1.0,0.00045831978786736727
1.0,0.00044458199408836663
1.0,0.00044011263526044786
1.0,0.0004291002405807376
1.0,0.00042532532825134695
1.0,0.00041447175317443907
1.0,0.00041170974145643413
1.0,0.0003994592698290944
1.0,0.00039669775287620723
1.0,0.00038914039032533765
1.0,0.0003946991346310824
1.0,0.00037367650656960905
1.0,0.000370312511222437
1.0,0.00036117222043685615
1.0,0.0003585428057704121
1.0,0.00034940242767333984
1.0,0.0003458136925473809
1.0,0.000337671343004331
1.0,0.0003331963671371341
1.0,0.0003271862806286663
1.0,0.0003239544457755983
1.0,0.0003167663817293942
1.0,0.00031278026290237904
1.0,0.00030719375354237854
1.0,0.0003029232320841402
1.0,0.0002969921915791929
1.0,0.00029495864873752
1.0,0.00028705524164251983
1.0,0.00028593564638867974
1.0,0.0002784025564324111
1.0,0.0002761311479844153
1.0,0.00026993508799932897
1.0,0.00026855061878450215
1.0,0.00026160653214901686
1.0,0.00025905075017362833
1.0,0.0002539594133850187
1.0,0.0002497621171642095
1.0,0.0002463457640260458
1.0,0.0002428174193482846
1.0,0.00024183646019082516
1.0,0.00023504470300395042
1.0,0.00023378623882308602
1.0,0.00022781480220146477
1.0,0.00022612612519878894
1.0,0.0002216044522356242
1.0,0.00021975683921482414
1.0,0.00021490415383595973
1.0,0.00021318886138033122
1.0,0.00020915729692205787
1.0,0.00020736925944220275
1.0,0.00020270844106562436
1.0,0.00020217165001668036
1.0,0.00019693493959493935
1.0,0.0001954715553438291
1.0,0.00019149869331158698
1.0,0.00018824792641680688
1.0,0.00018610252300277352
1.0,0.00018357348744757473
1.0,0.00018218933837488294
1.0,0.00017752835992723703
1.0,0.0001769255759427324
1.0,0.00017312521231360734
1.0,0.00017149616905953735
1.0,0.00016813279944472015
1.0,0.00016808607324492186
1.0,0.0001632396742934361
1.0,0.0001623191055841744
1.0,0.00015902190352790058
1.0,0.000158074835781008
1.0,0.00015441990399267524
1.0,0.00015243352390825748
1.0,0.00015069200890138745
1.0,0.00014863953401800245
1.0,0.00014833459863439202
1.0,0.00014439516235142946
1.0,0.0001434746227459982
1.0,0.0001403229107381776
1.0,0.00013941562792751938
1.0,0.00013682675489690155
1.0,0.00013648881576955318
1.0,0.0001329266669927165
1.0,0.00013217829109635204
1.0,0.0001296952978009358
1.0,0.00012812588829547167
1.0,0.00012618575419764966
1.0,0.00012421916471794248
1.0,0.00012273588799871504
1.0,0.00012173612049082294
1.0,0.00012061021698173136
1.0,0.00011789547716034576
1.0,0.00011729940888471901
1.0,0.00011484949936857447
1.0,0.00011478976375656202
1.0,0.00011169755453011021
1.0,0.00011099557741545141
1.0,0.00010926071990979835
1.0,0.0001078237546607852
1.0,0.00010623449634294957
1.0,0.0001049830243573524
1.0,0.00010418172314530239
1.0,0.0001021819916786626
1.0,0.00010171174653805792
1.0,9.963921911548823e-05
1.0,9.893061360344291e-05
1.0,9.702356328489259e-05
1.0,9.656656766310334e-05
1.0,9.442775626666844e-05
1.0,9.397745452588424e-05
1.0,9.20835736906156e-05
1.0,9.106379002332687e-05
1.0,8.969305781647563e-05
1.0,8.877921936800703e-05
1.0,8.815680484985933e-05
1.0,8.736205927561969e-05
1.0,8.564044401282445e-05
1.0,8.519669063389301e-05
1.0,8.31902798381634e-05
1.0,8.272669947473332e-05
1.0,8.126990724122152e-05
1.0,8.097848331090063e-05
1.0,7.923032535472885e-05
1.0,7.878660835558549e-05
1.0,7.742911839159206e-05
1.0,7.714430830674246e-05
1.0,7.552195893367752e-05
1.0,7.516432378906757e-05
1.0,7.356845162576064e-05
1.0,7.301218283828348e-05
1.0,7.167450530687347e-05
1.0,7.084674871293828e-05
1.0,7.007856765994802e-05
1.0,6.915148696862161e-05
1.0,6.832371582277119e-05
1.0,6.789986218791455e-05
1.0,6.682048842776567e-05
1.0,6.664826651103795e-05
1.0,6.500601739389822e-05
1.0,6.50523288641125e-05
1.0,6.341669359244406e-05
1.0,6.348288297886029e-05
1.0,6.190684507600963e-05
1.0,6.16353063378483e-05
1.0,6.0449936427176e-05
1.0,5.9774480178020895e-05
1.0,5.911887637921609e-05
1.0,5.8589113905327395e-05
1.0,5.841026722919196e-05
1.0,5.713885184377432e-05
1.0,5.684743155143224e-05
1.0,5.5695192713756114e-05
1.0,5.5562719353474677e-05
1.0,5.433100523077883e-05
1.0,5.41985355084762e-05
1.0,5.306614548317157e-05
